linkid,06:00,06:05,06:10,06:15,06:20,06:25,06:30,06:35,06:40,06:45,06:50,06:55,07:00,07:05,07:10,07:15,07:20,07:25,07:30,07:35,07:40,07:45,07:50,07:55,08:00,08:05,08:10,08:15,08:20,08:25,08:30,08:35,08:40,08:45,08:50,08:55,09:00,09:05,09:10,09:15,09:20,09:25,09:30,09:35,09:40,09:45,09:50,09:55,10:00,10:05,10:10,10:15,10:20,10:25,10:30,10:35,10:40,10:45,10:50,10:55,11:00,11:05,11:10,11:15,11:20,11:25,11:30,11:35,11:40,11:45,11:50,11:55
0,73.6304347826086,68.2803625377643,74.8961797752808,66.8641638225255,73.4159383033419,43.8818181818181,68.5119358074222,59.9765281173594,68.2081023454157,68.3227651966626,64.2778625954198,49.7493243243243,62.7774193548386,61.9253234750462,49.393410507569,53.0779616148246,45.2812749003984,64.3691987513007,47.0381374722838,25.2425349087003,24.4807121661721,32.6585635359116,31.5160284951024,42.6857142857142,24.4043715846994,20.54272,30.0300224047796,37.7835616438356,60.9827737226277,52.2849279161205,48.2842998585572,35.967987065481,13.1971401334604,77.9243697478991,39.7920239282153,61.7806451612903,44.6127596439169,48.0865704772475,49.8420168067226,71.3671469740634,47.0954504906333,62.7524079320113,42.3813918868626,55.1294434470377,30.6778651685393,41.1888911088911,35.3882970742685,14.23391521197,60.4611211573237,28.1437100213219,40.3906771010547,37.2445131375579,38.1617021276595,43.7981673793524,29.9238368753589,50.3185125303152,37.05,57.1151020408163,49.1551401869158,32.4515354421611,36.7842610364683,45.9243243243243,36.4493417844953,36.7358686257562,41.0597560975609,41.7490808823529,57.8544459644322,25.9848112575385,52.3554702495201,66.6521379310344,58.4781097984711,56.7302180685358
1,71.1631578947368,71.0545454545454,74.1627906976744,66.9442006269592,72.2686567164179,67.5090543259557,68.5872,66.8262032085561,69.0013544018058,69.3924812030075,67.3064846416382,69.7923344947735,63.8341463414634,64.2735042735042,59.4385714285714,52.1417565485362,58.1749049429657,59.2636663007683,61.4312450436161,40.7781818181818,60.6162162162162,68.112,48.7593533487297,65.6282208588957,45.1538461538461,51.138202247191,52.3819407008086,59.9310839913854,62.0336842105263,61.9341330425299,64.8979942693409,23.7180747223157,57.0,63.2903225806451,58.3390029325513,59.6662379421221,57.1563636363636,64.5338312173263,64.55,62.152606635071,58.7963963963963,53.5012370113805,45.8063057703747,44.1481283422459,63.4164705882352,54.0286038592508,62.8077375946173,52.3363214837712,55.0999332888592,52.6365622723962,58.0564981949458,43.4978417266187,49.3864462809917,39.1838150289017,57.604609475032,57.2226880394574,56.137808219178,50.4198895027624,54.3787418655097,53.1181208053691,54.4557939914163,58.073955352032,42.4267053701015,56.9221684414327,57.7452137266706,61.5862068965517,60.9607250755286,61.8938053097345,46.2502463054187,64.08,55.0824925816023,56.0324607329842
2,72.8761904761904,68.2243902439024,69.554716981132,67.7596153846153,70.3698113207547,57.1855855855855,69.3094295692665,69.9876726886291,67.6832095096582,67.7979310344827,66.3766816143497,61.9493670886076,64.2623376623376,50.1216867469879,52.1776744186046,35.9937136204889,46.3128712871287,52.9240099009901,56.6718535469107,31.8535714285714,55.0479297365119,48.3584,47.6089887640449,45.6273615635179,39.0972453555413,51.5242622950819,50.7413958444326,54.055469953775,55.213856812933,50.5952153110047,43.0678125,38.4105726872246,40.4340140609306,34.1121951219512,49.5374838986689,35.5774736842105,55.5709692237023,57.2326944757609,49.3296506904955,52.4382477626001,46.821505376344,42.0063241106719,40.5601513240857,51.9998227735932,48.8940644431882,48.5120860927152,49.7203738317756,42.3544303797468,40.7622237106497,41.5385923476617,47.164735158194,37.9537366548042,36.8031311154598,40.4018433179723,49.1368059530623,44.1285714285714,43.9597446488922,43.499747687132,40.0857236197321,43.9208863356585,41.5555016671718,42.9787709497206,35.6126357354392,49.6864010536713,51.8023014959723,57.3249714937286,36.6117896972915,52.8733054393305,51.3808219178082,55.1436241610738,48.122505800464,52.6211239537664
3,74.1920792079207,73.1007194244604,67.0200927357032,72.429799426934,71.1759849906191,55.0831592143752,73.8695121951219,62.8324851864761,67.0244406196213,66.1580198019802,64.1634334763948,56.3592689295039,40.9724388032638,40.1027060524685,46.4347188264058,30.5876993166287,44.3356999330207,48.7544886550476,45.9888118147236,34.3694352159468,53.0316702819956,44.7344727846436,51.0742130365659,49.6008337675872,38.3259416897212,40.9904761904761,49.3457597173144,47.2366972477064,44.8031695721077,45.0252818991097,33.4549553050913,36.7835069075451,39.8426688632619,33.3482786228983,39.6147333418595,36.7726739739994,48.4460056657223,48.7565525383707,46.2464239271781,42.102812295618,40.5526127415891,39.3694419030192,34.8260968516879,39.6810033198081,35.1514902363823,38.5980153649167,32.7418306244653,34.3837652201061,40.3619301164725,41.6420950533462,42.8758813086482,32.7521856556967,38.1879211697393,37.1651728553137,41.2420047732696,37.7452837573385,40.2429115531104,43.212808988764,37.0240052614271,37.9077488064634,39.5716336006753,44.801917629113,35.9941841680129,43.2698339635048,48.4051282051282,40.0028492647058,51.1438943894389,48.5876255949233,44.1415599534342,39.9736363636363,45.9295220243673,40.254294830887
4,72.8756756756756,71.904,55.2448598130841,59.2615384615384,71.904,64.2911660777385,70.9578947368421,58.1508196721311,59.0181818181818,61.2818181818181,59.3032258064516,52.1883870967741,48.3602905569007,45.7847866419295,43.4980392156862,41.3241379310344,32.7956043956043,24.3110332749562,33.1164835164835,39.5585014409221,46.5865979381443,48.0365217391304,49.2395604395604,50.9698841698841,38.8472727272727,43.9134396355353,34.7608583690987,35.8250368188512,28.3636363636363,32.1030927835051,29.9098591549295,28.5113924050632,40.3937007874015,34.4050632911392,29.6621572212065,32.5014705882352,35.2088328075709,32.6371257485029,32.9098976109215,36.1741109530583,32.6145593869731,26.9885350318471,29.4886075949367,30.594009983361,28.450321825629,30.8600711743772,29.1667289719626,31.1771919068056,37.2799279927992,37.274363327674,34.006374501992,27.1483014447481,30.7255127153404,31.9392181588902,28.260748959778,34.8919037199124,34.2770718232044,34.8731903485254,27.7306727480045,35.0973026973026,41.8820512820512,38.9358904109588,42.4657111356119,41.4830769230769,38.7564660691421,45.7315345699831,49.1638554216867,41.3228070175438,42.8879999999999,42.8671698113207,38.0923994038748,48.2794029850746
5,64.3821428571428,67.7488372093023,55.9928571428571,63.0844950213371,72.5655172413793,62.3412103746397,62.5665943600867,56.5747572815533,58.0490872210953,51.0945652173913,56.7558620689655,48.8690391459074,44.8852638793694,36.7615384615384,34.2875576036866,35.9080291970802,28.7483253588516,14.3830985915492,27.612416311625,31.2501043841336,45.232633279483,46.0671009771986,42.6558019003743,46.4305718866916,34.1031390134529,37.4649577628895,32.8366576819407,25.7832167832167,24.1591150938112,24.8786086956521,20.5937972768532,25.0813186813186,27.6181818181818,23.8423087699635,24.3200836820083,30.2144329896907,25.6941176470588,23.9068820224719,24.257740585774,26.6858502449265,27.7987146178039,25.5534700315457,25.2135873472322,23.2441696113074,25.2277724204435,19.7528960223307,22.1350318471337,21.1344510861641,28.2689506070181,34.1512048192771,26.2936194240542,23.416472545757,29.1055799797091,25.4930708065126,24.5282358581016,29.3532046332046,27.8162014444661,33.3056074766355,27.2786840766491,30.3988449321397,37.7755871650678,32.4763018454229,35.4032388663967,38.0660869565217,36.2796019900497,41.1130746268656,42.5172413793103,39.1335350756533,41.0794924273434,39.4374193548387,39.0683813747228,44.6214969048958
6,61.3384615384615,66.4499999999999,57.2264150943396,63.1603960396039,67.7508196721311,60.5620253164556,56.9571428571428,54.9931034482758,56.9571428571428,53.9027027027026,56.1549295774647,49.7525179856115,39.5872340425531,32.7067669172932,28.9963636363636,23.3839762611276,35.6123076923076,16.1931034482758,15.5406976744186,20.9777777777777,44.9756756756756,44.9239436619718,42.2488888888888,48.8302325581395,22.7276264591439,20.593886462882,18.2249999999999,8.97284826974267,13.2114014251781,10.680856586632,11.3539805825242,17.4055970149253,20.2668665667166,13.7994076999012,12.1175103734439,13.3864716636197,13.1236669784845,11.6773869346733,19.896644295302,17.6571428571428,21.6330612244897,23.8364418938307,19.4780352177942,16.9165654813529,19.4843423799582,16.9873485868102,14.9165446559297,16.7081632653061,19.8971722365038,21.7900452488687,18.0844660194174,22.6257763975155,23.2600431965442,21.4869109947643,22.0091603053435,24.2953846153846,25.6765399737876,28.3905686546463,21.562213740458,20.0527659574468,29.3277777777777,23.995847750865,30.3851612903225,29.8818897637795,35.9265306122448,35.8485436893203,34.2816568047337,29.8642972536349,33.2249999999999,38.1133105802047,33.7619047619047,33.9417130144605
7,62.0756756756756,67.8857142857142,51.5050847457627,60.552808988764,67.4162790697674,53.8548944337811,58.393220338983,53.3748502994011,55.68,53.4380487804877,59.5833679833679,49.7974025974025,43.0682142857142,41.3427561837455,35.2,28.8214797136038,19.1403409090909,15.2011743981209,25.8693310165073,35.451282051282,46.7876075731497,45.5421292083712,40.4015515903801,29.1412844036697,32.8,21.837679558011,28.1589840583626,13.8943894389438,15.6364356435643,13.6694915254237,14.1830395426393,19.7260408163265,17.5023661270236,13.626312707398,13.3142857142857,13.8003807106598,20.9732190363582,12.6269920611584,18.4280881599179,17.4525533290239,23.180712609345,20.2242343541944,18.1861248761149,14.0979155531801,20.022774659182,14.9194957226474,17.7377586206896,15.3483304042179,18.1227494136749,17.0147066631271,22.0930208058993,21.0881546572935,25.2343530732528,22.3590933052187,20.8638565022421,19.4708283313325,22.6670797831138,26.4630278063851,22.2273326015367,24.5542168674698,25.1389265885256,21.258855585831,34.7628006413682,35.7410276679841,36.356555993247,40.9220930232558,40.2695053224796,31.849141030763,42.917277486911,43.7717868338557,40.1255244755244,39.7222293401665
8,73.2680597014925,64.3946144430844,49.4129729729729,62.9104147465437,67.6507614213197,58.3443504996156,44.8144329896907,55.1478507321681,54.4475247524752,54.0660287081339,56.5135922330097,51.727972027972,46.1131412508784,49.5336793225894,40.3840749414519,45.4016129032258,33.8596693026599,40.3519885345754,48.2009478672985,49.0705394190871,66.7156626506024,49.6049366677492,50.390261496844,57.7363777893098,32.2295999999999,43.7368983957219,42.0003767069533,40.3740422204847,24.2380691543991,19.6608263329333,21.0972339146121,18.0605441055234,19.6324508966695,16.5236664162284,19.0996950672645,14.118943253169,17.97385976855,12.3445068163592,17.220758385999,19.0671640153592,24.0781413612565,20.7109829922167,17.2999206978588,15.7314352843618,18.802830856334,15.8357106382978,14.5857694930666,15.4138869207878,16.7824165915238,21.492812690665,21.502155218176,19.6244473342002,26.595440844009,26.4692206076618,19.8114809960681,18.7392082616179,20.8783165916175,28.4308645618176,24.0193606755126,22.6336224489795,27.0115898959881,29.4713384257721,38.1712305025996,40.887186574531,46.9207081545064,44.4683628318584,43.1404471914197,33.3377553261585,47.1617715617715,45.5518314099347,42.4951364919987,45.5373705857325
9,75.7333333333333,63.5294117647058,56.1758241758241,56.7999999999999,55.7672727272727,54.5279999999999,53.8105263157894,43.5063829787233,47.0068965517241,47.3333333333333,47.0068965517241,47.553488372093,37.6673684210526,47.6766839378238,45.1058823529411,46.8274809160305,44.4521739130434,47.0068965517241,56.1758241758241,49.2722891566264,50.6138613861386,49.3491891891891,50.6754098360655,43.5063829787234,45.4399999999999,44.4461538461538,42.1942857142857,47.0842105263157,24.1132075471698,34.8051063829787,21.080412371134,20.9082089552238,29.6347826086956,19.6994219653179,18.6739726027397,14.8893203883495,19.7883870967741,18.8565055762081,18.7252747252747,20.8094594594594,24.1858064516128,24.1783783783783,20.4794701986754,14.1721030042918,20.5434190620272,18.7941176470588,14.1303964757709,17.8,16.9592417061611,24.8601398601398,23.9053627760252,20.802332361516,25.0592833876221,26.0136,26.1483375959079,24.8379888268156,25.3487603305785,25.5599999999999,32.7382165605095,28.3393939393939,32.4968215158924,35.1038626609442,30.6248847926267,50.2819672131147,50.697520661157,38.6854054054054,40.4338983050847,26.3357142857142,44.9855999999999,44.4521739130434,42.160824742268,40.5484419263456
