,Volume
06:00,102
06:02,102
06:04,101
06:06,110
06:08,110
06:10,93
06:12,76
06:14,72
06:16,123
06:18,123
06:20,82
06:22,105
06:24,109
06:26,94
06:28,94
06:30,72
06:32,110
06:34,83
06:36,99
06:38,98
06:40,97
06:42,86
06:44,87
06:46,87
06:48,72
06:50,72
06:52,71
06:54,67
06:56,66
06:58,64
07:00,62
07:02,62
07:04,62
07:06,65
07:08,67
07:10,72
07:12,67
07:14,61
07:16,55
07:18,71
07:20,70
07:22,68
07:24,67
07:26,65
07:28,63
07:30,62
07:32,55
07:34,57
07:36,60
07:38,63
07:40,71
07:42,81
07:44,68
07:46,54
07:48,55
07:50,57
07:52,59
07:54,61
07:56,61
07:58,51
08:00,52
08:02,53
08:04,54
08:06,55
08:08,55
08:10,55
08:12,56
08:14,58
08:16,59
08:18,61
08:20,61
08:22,60
08:24,60
08:26,59
08:28,59
08:30,59
08:32,60
08:34,61
08:36,63
08:38,50
08:40,52
08:42,52
08:44,50
08:46,75
08:48,64
08:50,52
08:52,52
08:54,70
08:56,65
08:58,68
09:00,65
09:02,70
09:04,82
09:06,82
09:08,75
09:10,76
09:12,77
09:14,67
09:16,80
09:18,73
09:20,65
09:22,70
09:24,75
09:26,81
09:28,84
09:30,88
09:32,100
09:34,100
09:36,93
09:38,93
09:40,93
09:42,100
09:44,99
09:46,97
09:48,95
09:50,95
09:52,109
09:54,109
09:56,109
09:58,100
10:00,90
10:02,90
10:04,91
10:06,92
10:08,84
10:10,87
10:12,89
10:14,90
10:16,114
10:18,93
10:20,98
10:22,98
10:24,98
10:26,99
10:28,102
10:30,102
10:32,90
10:34,97
10:36,93
10:38,88
10:40,94
10:42,94
10:44,94
10:46,94
10:48,100
10:50,98
10:52,90
10:54,105
10:56,97
10:58,97
11:00,92
11:02,95
11:04,94
11:06,93
11:08,98
11:10,104
11:12,104
11:14,102
11:16,100
11:18,69
11:20,82
11:22,82
11:24,99
11:26,99
11:28,76
11:30,76
11:32,96
11:34,69
11:36,99
11:38,96
11:40,96
11:42,96
11:44,84
11:46,77
11:48,80
11:50,81
11:52,94
11:54,90
11:56,85
11:58,80
